Rank,Male Name,Number of males,Female Name,Number of females
1,Noah,837,Olivia,903
2,Alexander,747,Emma,792
3,William,687,Sophia,757
4,Michael,680,Isabella,688
5,Liam,670,Ava,627
6,Jacob,654,Mia,591
7,Benjamin,649,Emily,523
8,Mason,604,Sofia,460
9,Daniel,593,Charlotte,439
10,Logan,593,Abigail,430
11,Ethan,579,Evelyn,397
12,Anthony,564,Amelia,395
13,Aiden,535,Harper,386
14,Jayden,530,Avery,380
15,Joseph,498,Elizabeth,377
16,James,486,Madison,370
17,Lucas,481,Victoria,358
18,Henry,477,Grace,352
19,Jackson,469,Chloe,310
20,David,467,Ella,310
21,Nathan,446,Nora,307
22,Elijah,445,Natalie,303
23,Matthew,436,Aubrey,298
24,Andrew,433,Brooklyn,294
25,John,432,Lillian,272
26,Isaac,419,Hannah,268
27,Dylan,417,Zoey,268
28,Jack,411,Layla,265
29,Joshua,411,Leah,257
30,Owen,411,Anna,251
31,Julian,407,Claire,251
32,Gabriel,399,Lily,246
33,Ryan,399,Aria,238
34,Oliver,396,Addison,230
35,Carter,393,Camila,230
36,Sebastian,380,Penelope,230
37,Charles,377,Samantha,230
38,Luke,371,Maya,222
39,Jonathan,364,Madelyn,217
40,Samuel,353,Ariana,210
41,Christopher,340,Zoe,205
42,Evan,326,Julia,204
43,Connor,314,Violet,204
44,Caleb,313,Scarlett,202
45,Christian,308,Alexa,200
46,Thomas,306,Audrey,199
47,Nicholas,300,Allison,198
48,Wyatt,300,Mila,194
49,Hunter,298,Arianna,192
50,Adrian,288,Eleanor,191
51,Angel,285,Mackenzie,186
52,Cameron,278,Aaliyah,185
53,Aaron,274,Savannah,185
54,Landon,266,Melanie,182
55,Nolan,266,Naomi,181
56,Jordan,263,Gabriella,177
57,Kevin,261,Annabelle,175
58,Gavin,258,London,175
59,Adam,249,Alexandra,173
60,Brandon,247,Vivian,173
61,Eli,237,Gianna,172
62,Parker,235,Natalia,172
63,Isaiah,234,Liliana,169
64,Jaxon,232,Ellie,167
65,Levi,232,Kennedy,165
66,Tyler,227,Lucy,165
67,Dominic,224,Skylar,163
68,Josiah,224,Sarah,162
69,Jeremiah,222,Riley,159
70,Austin,220,Kaylee,158
71,Robert,210,Serenity,156
72,Cooper,204,Caroline,155
73,Leonardo,203,Stella,155
74,Ian,202,Nevaeh,154
75,Blake,200,Taylor,153
76,Brayden,200,Alyssa,152
77,Camden,200,Katherine,152
78,Zachary,198,Sophie,152
79,Damian,197,Nicole,151
80,Jace,196,Peyton,151
81,Vincent,196,Sadie,149
82,Ayden,192,Bella,148
83,Leo,191,Aubree,147
84,Chase,189,Lydia,147
85,Colton,188,Madeline,146
86,Grayson,186,Hailey,145
87,Lincoln,186,Kylie,145
88,Mateo,185,Alexis,144
89,Jose,182,Autumn,144
90,Maxwell,181,Ashley,139
91,Giovanni,178,Isabelle,139
92,Jason,177,Eva,138
93,Kayden,175,Ruby,138
94,Nathaniel,175,Emilia,136
95,Miles,174,Brianna,134
96,Patrick,173,Molly,134
97,Max,170,Morgan,130
98,Brody,168,Piper,129
99,Jaxson,168,Faith,128
100,George,166,Lauren,128
101,Theodore,166,,
