Rank,Male name,Number of males,Female name,Number of females
1,Noah,863,Olivia,813
2,Liam,709,Emma,808
3,Alexander,703,Sophia,733
4,Jacob,650,Mia,665
5,William,618,Isabella,641
6,Michael,617,Ava,635
7,Benjamin,616,Sofia,480
8,Daniel,601,Abigail,468
9,Mason,594,Emily,458
10,James,576,Amelia,457
11,Logan,568,Charlotte,456
12,Ethan,560,Evelyn,419
13,Aiden,547,Grace,398
14,Anthony,524,Madison,371
15,Henry,514,Avery,351
16,Oliver,502,Elizabeth,345
17,Jayden,480,Harper,338
18,Lucas,471,Victoria,320
19,Matthew,449,Ella,303
20,Jackson,447,Aubrey,294
21,Owen,446,Lillian,288
22,Sebastian,433,Alexa,286
23,Carter,429,Nora,282
24,Joseph,427,Natalie,281
25,Isaac,421,Brooklyn,278
26,Elijah,413,Audrey,272
27,John,412,Chloe,260
28,Dylan,403,Addison,254
29,David,402,Maya,254
30,Julian,397,Hannah,252
31,Jack,384,Layla,240
32,Nathan,382,Zoe,239
33,Samuel,379,Penelope,238
34,Andrew,377,Mila,236
35,Gabriel,375,Zoey,231
36,Joshua,363,Camila,230
37,Christopher,349,Ariana,225
38,Ryan,335,Aria,221
39,Caleb,331,Samantha,219
40,Jonathan,328,Lily,216
41,Charles,320,Violet,216
42,Luke,308,Leah,215
43,Wyatt,301,Scarlett,213
44,Christian,299,Claire,212
45,Thomas,299,Eleanor,211
46,Dominic,286,Stella,210
47,Cameron,280,Savannah,206
48,Adrian,279,Skylar,200
49,Nolan,279,Anna,199
50,Angel,278,Aaliyah,198
51,Nicholas,274,Riley,191
52,Connor,269,Madelyn,189
53,Levi,268,Vivian,187
54,Hunter,267,Ellie,185
55,Landon,265,Gabriella,181
56,Mateo,262,Lucy,180
57,Aaron,260,Melanie,177
58,Grayson,258,Julia,176
59,Adam,256,Arianna,174
60,Isaiah,254,Taylor,174
61,Jordan,250,Allison,172
62,Evan,249,Gianna,170
63,Leonardo,246,Natalia,169
64,Leo,244,Kylie,162
65,Jaxon,241,Alexandra,159
66,Gavin,236,Kennedy,159
67,Josiah,235,Hazel,157
68,Eli,223,Naomi,157
69,Theodore,220,Mackenzie,154
70,Lincoln,218,Hailey,153
71,Brandon,217,Emilia,152
72,Tyler,215,Liliana,152
73,Brayden,208,Ximena,152
74,Austin,205,London,148
75,Robert,205,Piper,148
76,Emmett,204,Autumn,147
77,Parker,204,Paisley,147
78,Jeremiah,200,Alyssa,146
79,Kevin,200,Madeline,143
80,Colton,199,Elena,142
81,Ian,199,Peyton,142
82,Vincent,198,Sarah,142
83,Zachary,197,Alexis,141
84,Chase,193,Aubree,140
85,Ayden,187,Caroline,139
86,Cooper,186,Eliana,138
87,Easton,183,Nevaeh,137
88,Declan,182,Sadie,137
89,Jaxson,180,Sophie,137
90,Xavier,175,Josephine,136
91,Jace,172,Quinn,134
92,Damian,171,Ruby,134
93,Jose,171,Lydia,133
94,Kayden,171,Annabelle,130
95,Patrick,169,Serenity,130
96,Giovanni,168,Eva,128
97,Hudson,167,Kaylee,127
98,Camden,165,Katherine,125
99,Max,164,Genesis,124
100,Maxwell,155,Kimberly,124
101,,,Margaret,124
